pair,direction,entry_price,exit_price,position_size,pnl,pips,entry_time,exit_time,duration,reason,confidence,risk_reward,balance_before,balance_after,entry_type,optimal_entry
EURUSD=X,long,1.1708741772257596,1.1761322353363037,11039.03913811475,58.04390927277844,52.58058110544139,2025-07-07 21:00:00+01:00,2025-07-08 08:00:00+01:00,0 days 11:00:00,Take Profit,0.519582986831665,2.0,1000.0,1058.0439092727784,LIMIT,1.1706741772257596
EURUSD=X,short,1.1755696791865295,1.1712972785949707,11864.495959344538,50.689879555251395,42.72400591558867,2025-07-08 09:00:00+01:00,2025-07-08 14:00:00+01:00,0 days 05:00:00,Take Profit,0.5381016135215759,2.0,1058.0439092727784,1108.7337888280297,LIMIT,1.1757696791865295
EURUSD=X,long,1.170701872246539,1.1746120784759522,15269.538351115727,59.70704398079621,39.10206229413182,2025-07-08 16:00:00+01:00,2025-07-10 01:00:00+01:00,1 days 09:00:00,Take Profit,0.5062351822853088,2.0,1108.7337888280297,1168.440832808826,LIMIT,1.170501872246539
EURUSD=X,short,1.1744179167515838,1.1711601879119873,17184.610371395833,55.982800804125645,32.577288395965184,2025-07-10 02:00:00+01:00,2025-07-10 13:00:00+01:00,0 days 11:00:00,Take Profit,0.5454519391059875,2.0,1168.440832808826,1224.4236336129516,LIMIT,1.1746179167515838
EURUSD=X,long,1.1680398649152066,1.1704860065460205,26607.550965043145,65.08583810959497,24.46141630813914,2025-07-10 15:00:00+01:00,2025-07-10 22:00:00+01:00,0 days 07:00:00,Take Profit,0.5090690851211548,2.0,1224.4236336129516,1289.5094717225466,LIMIT,1.1678398649152066
EURUSD=X,long,1.1683221373110617,1.1665250394821167,21309.56637122055,-38.29537546147969,-17.970978289449935,2025-07-11 04:00:00+01:00,2025-07-14 07:00:00+01:00,3 days 03:00:00,Stop Loss,0.5036889910697937,2.0,1289.5094717225466,1251.214096261067,LIMIT,1.1681221373110617
EURUSD=X,long,1.1669777803342694,1.1643511388778687,23409.782768105066,-61.489105904039036,-26.2664145640068,2025-07-14 20:00:00+01:00,2025-07-15 14:00:00+01:00,0 days 18:00:00,Stop Loss,0.5180090069770813,2.0,1251.214096261067,1189.724990357028,LIMIT,1.1667777803342694
EURUSD=X,long,1.16245004196167,1.15948918800354,18147.799294644574,-53.73298337289428,-29.608539581298388,2025-07-15 15:00:00+01:00,2025-07-15 17:00:00+01:00,0 days 02:00:00,Stop Loss,0.571342408657074,2.0,1189.724990357028,1135.9920069841337,MARKET,1.16225004196167
EURUSD=X,long,1.1604072468808388,1.162861261177063,25915.988679927188,63.598206721324836,24.540142962241607,2025-07-15 19:00:00+01:00,2025-07-16 07:00:00+01:00,0 days 12:00:00,Take Profit,0.5318540334701538,2.0,1135.9920069841337,1199.5902137054586,LIMIT,1.1602072468808389
EURUSD=X,short,1.1630229690565352,1.1578753854751587,16958.10988564923,87.29328801854767,51.47583581376569,2025-07-16 09:00:00+01:00,2025-07-16 14:00:00+01:00,0 days 05:00:00,Take Profit,0.5175243020057678,2.0,1199.5902137054586,1286.8835017240062,LIMIT,1.1632229690565352
EURUSD=X,long,1.1595833206545683,1.1639442775726319,20669.1905701452,90.13744960764957,43.609569180635965,2025-07-16 15:00:00+01:00,2025-07-16 17:00:00+01:00,0 days 02:00:00,Take Profit,0.5331267714500427,2.0,1286.8835017240062,1377.0209513316559,LIMIT,1.1593833206545683
EURUSD=X,short,1.1647056008993124,1.1588142778396606,18328.185720684327,107.97726317784819,58.91323059651787,2025-07-16 21:00:00+01:00,2025-07-17 07:00:00+01:00,0 days 10:00:00,Take Profit,0.5417643189430237,2.0,1377.0209513316559,1484.9982145095041,LIMIT,1.1649056008993124
EURUSD=X,long,1.1596557814284498,1.1629964445114136,23706.785029486826,79.19638156376477,33.406630829637685,2025-07-17 16:00:00+01:00,2025-07-18 02:00:00+01:00,0 days 10:00:00,Take Profit,0.5196061134338379,2.0,1484.9982145095041,1564.194596073269,LIMIT,1.1594557814284498
EURUSD=X,short,1.1642154787063599,1.1661088134765625,24168.474992032785,-45.7590140451875,-18.933347702025927,2025-07-18 11:00:00+01:00,2025-07-18 13:00:00+01:00,0 days 02:00:00,Stop Loss,0.5467309951782227,2.0,1564.194596073269,1518.4355820280814,MARKET,1.1644154787063599
EURUSD=X,long,1.16299401112958,1.1669334505081177,26038.117719972528,102.5755862890598,39.3943937853769,2025-07-18 17:00:00+01:00,2025-07-21 12:00:00+01:00,2 days 19:00:00,Take Profit,0.5414482355117798,2.0,1518.4355820280814,1621.0111683171413,LIMIT,1.16279401112958
EURUSD=X,long,1.1689662081159797,1.1724078987121582,24010.146970138983,82.63549703999087,34.41690596178493,2025-07-22 04:00:00+01:00,2025-07-22 15:00:00+01:00,0 days 11:00:00,Take Profit,0.5947369933128357,2.0,1621.0111683171413,1703.6466653571322,LIMIT,1.1687662081159798
EURUSD=X,short,1.1750262115478516,1.1730830337524414,26139.109148552783,50.7929364892714,19.431777954102003,2025-07-22 16:00:00+01:00,2025-07-23 11:00:00+01:00,0 days 19:00:00,Take Profit,0.562438428401947,2.0,1703.6466653571322,1754.4396018464035,MARKET,1.1752262115478516
EURUSD=X,long,1.1729453470230102,1.1753025386810303,29205.37499872379,68.84266631633945,23.571916580200636,2025-07-23 13:00:00+01:00,2025-07-23 16:00:00+01:00,0 days 03:00:00,Take Profit,0.5003550052642822,2.0,1754.4396018464035,1823.282268162743,MARKET,1.1727453470230103
EURUSD=X,short,1.177794966506958,1.1762554313659668,32483.33301073517,50.00923266654806,15.39535140991255,2025-07-24 03:00:00+01:00,2025-07-24 09:00:00+01:00,0 days 06:00:00,Take Profit,0.538597047328949,2.0,1823.282268162743,1873.2915008292912,MARKET,1.177994966506958
EURUSD=X,short,1.175627656198394,1.1776401664733886,41206.555567392796,-82.92861647651416,-20.125102749946056,2025-07-24 10:00:00+01:00,2025-07-24 14:00:00+01:00,0 days 04:00:00,Stop Loss,0.5370268821716309,2.0,1873.2915008292912,1790.362884352777,LIMIT,1.175827656198394
EURUSD=X,short,1.177260079190233,1.17404672164917,27687.006475639,88.96825104795776,32.13357541063111,2025-07-24 15:00:00+01:00,2025-07-25 10:00:00+01:00,0 days 19:00:00,Take Profit,0.5433775782585144,2.0,1790.362884352777,1879.3311354007346,LIMIT,1.177460079190233
EURUSD=X,long,1.1732204820632934,1.1757172677993775,31390.544491486573,78.37546373425475,24.967857360840284,2025-07-25 11:00:00+01:00,2025-07-28 00:00:00+01:00,2 days 13:00:00,Take Profit,0.5131877064704895,2.0,1879.3311354007346,1957.7065991349893,MARKET,1.1730204820632935
EURUSD=X,long,1.1604274179458618,1.1586828563690186,25767.919611986446,-44.953722470256345,-17.445615768432177,2025-07-28 17:00:00+01:00,2025-07-29 01:00:00+01:00,0 days 08:00:00,Stop Loss,0.558883011341095,2.0,1957.7065991349893,1912.752876664733,MARKET,1.1602274179458618
EURUSD=X,short,1.1582339018072454,1.1533364917755127,20983.11569597845,102.76292130649313,48.974100317327185,2025-07-29 10:00:00+01:00,2025-07-29 13:00:00+01:00,0 days 03:00:00,Take Profit,0.541854739189148,2.0,1912.752876664733,2015.5157979712262,LIMIT,1.1584339018072454
EURUSD=X,long,1.1528048183441162,1.156939539718628,24733.278617149444,102.26521576008254,41.34721374511763,2025-07-29 15:00:00+01:00,2025-07-30 01:00:00+01:00,0 days 10:00:00,Take Profit,0.5176843404769897,2.0,2015.5157979712262,2117.7810137313086,MARKET,1.1526048183441162
EURUSD=X,short,1.156288950259563,1.147515263748169,25830.44131706194,226.6281945668631,87.73686511394096,2025-07-30 07:00:00+01:00,2025-07-30 13:00:00+01:00,0 days 06:00:00,Take Profit,0.5095181465148926,2.0,2117.7810137313086,2344.4092082981715,LIMIT,1.156488950259563
EURUSD=X,long,1.143579807472229,1.1404410932540894,26606.521220376093,-83.51026644962754,-31.387142181396044,2025-07-30 19:00:00+01:00,2025-07-30 21:00:00+01:00,0 days 02:00:00,Stop Loss,0.5162776708602905,2.0,2344.4092082981715,2260.898941848544,MARKET,1.143379807472229
EURUSD=X,long,1.1423252694525095,1.140180859375,24922.374671164955,-53.443791400311866,-21.444100775094288,2025-07-30 23:00:00+01:00,2025-08-01 10:00:00+01:00,1 days 11:00:00,Stop Loss,0.5395507216453552,2.0,2260.898941848544,2207.455150448232,LIMIT,1.1421252694525095
EURUSD=X,long,1.1412846215055852,1.1544010971069336,39910.01687168449,523.4787625468539,131.16475601348432,2025-08-01 11:00:00+01:00,2025-08-01 13:00:00+01:00,0 days 02:00:00,Take Profit,0.5311205983161926,2.0,2207.455150448232,2730.933912995086,LIMIT,1.1410846215055852
