timestamp,balance,equity
2025-07-07 15:00:00+01:00,1000.0,1000.0
2025-07-07 16:00:00+01:00,1000.0,1000.0
2025-07-07 17:00:00+01:00,1000.0,1000.0
2025-07-07 18:00:00+01:00,1000.0,1000.0
2025-07-07 19:00:00+01:00,1000.0,1000.0
2025-07-07 20:00:00+01:00,1000.0,1000.0
2025-07-07 21:00:00+01:00,1000.0,1000.0
2025-07-07 22:00:00+01:00,1000.0,997.648256261291
2025-07-07 23:00:00+01:00,1000.0,1022.2587231167252
2025-07-08 00:00:00+01:00,1000.0,1023.4919668500852
2025-07-08 01:00:00+01:00,1000.0,1028.4292090628794
2025-07-08 02:00:00+01:00,1000.0,1023.4919668500852
2025-07-08 03:00:00+01:00,1000.0,1023.4919668500852
2025-07-08 04:00:00+01:00,1000.0,1030.898896989115
2025-07-08 05:00:00+01:00,1000.0,1027.1938316898422
2025-07-08 06:00:00+01:00,1000.0,1021.0254793833651
2025-07-08 07:00:00+01:00,1000.0,1027.1938316898422
2025-07-08 08:00:00+01:00,1000.0,1043.2686730170642
2025-07-08 09:00:00+01:00,1043.2686730170642,1043.2686730170642
2025-07-08 10:00:00+01:00,1043.2686730170642,1048.665932126492
2025-07-08 11:00:00+01:00,1043.2686730170642,1060.486464361471
2025-07-08 12:00:00+01:00,1043.2686730170642,1065.7319533824923
2025-07-08 13:00:00+01:00,1043.2686730170642,1067.0433256377476
2025-07-08 14:00:00+01:00,1043.2686730170642,1080.132048025989
2025-07-08 15:00:00+01:00,1080.132048025989,1080.132048025989
2025-07-08 16:00:00+01:00,1080.132048025989,1080.132048025989
2025-07-08 17:00:00+01:00,1080.132048025989,1078.7107479459116
2025-07-08 18:00:00+01:00,1080.132048025989,1095.7942259510874
2025-07-08 19:00:00+01:00,1080.132048025989,1097.3510680763814
2025-07-08 20:00:00+01:00,1080.132048025989,1094.2400796563131
2025-07-08 21:00:00+01:00,1080.132048025989,1097.3510680763814
2025-07-08 22:00:00+01:00,1080.132048025989,1097.3510680763814
2025-07-08 23:00:00+01:00,1080.132048025989,1102.0188986217438
2025-07-09 00:00:00+01:00,1080.132048025989,1094.2400796563131
2025-07-09 01:00:00+01:00,1080.132048025989,1095.7942259510874
2025-07-09 02:00:00+01:00,1080.132048025989,1092.684585446279
2025-07-09 03:00:00+01:00,1080.132048025989,1081.8136488744199
2025-07-09 04:00:00+01:00,1080.132048025989,1075.6091949326633
2025-07-09 05:00:00+01:00,1080.132048025989,1083.365099338674
2025-07-09 06:00:00+01:00,1080.132048025989,1088.0234944772164
