pair,direction,entry_price,exit_price,position_size,pnl,pips,entry_time,exit_time,duration,reason,confidence,risk_reward,balance_before,balance_after
USDJPY=X,short,145.84500549316405,146.13799621582032,122.50832847247382,-35.89380369056186,-29.299072265627046,2025-07-07 16:00:00+01:00,2025-07-07 17:00:00+01:00,0 days 01:00:00,Stop Loss,0.5619168877601624,2.0,1000.0,964.1061963094381
USDJPY=X,short,146.0300030517578,146.26600219726564,103.55811328256934,-24.43962624508973,-23.599914550783296,2025-07-07 20:00:00+01:00,2025-07-08 02:00:00+01:00,0 days 06:00:00,Stop Loss,0.5507195591926575,2.0,964.1061963094381,939.6665700643484
USDJPY=X,short,146.75200317382811,147.07599975585939,97.19427607066436,-31.490613239898952,-32.399658203127046,2025-07-08 14:00:00+01:00,2025-07-09 03:00:00+01:00,0 days 13:00:00,Stop Loss,0.5501722097396851,2.0,939.6665700643484,908.1759568244495
USDJPY=X,short,147.66400573730468,147.92899658203126,109.56629448666324,-29.034064929582442,-26.499084472658296,2025-07-14 21:00:00+01:00,2025-07-15 12:00:00+01:00,0 days 15:00:00,Stop Loss,0.5853219032287598,2.0,908.1759568244495,879.1418918948671
USDJPY=X,short,148.802998046875,148.1209979248047,74.82175252484234,51.028444355455655,68.2000122070292,2025-07-16 02:00:00+01:00,2025-07-16 16:00:00+01:00,0 days 14:00:00,Take Profit,0.551606297492981,2.0,879.1418918948671,930.1703362503227
USDJPY=X,short,148.64799926757811,148.27799560546876,89.49716657304747,33.114279380438475,37.000366210935454,2025-07-18 04:00:00+01:00,2025-07-18 14:00:00+01:00,0 days 10:00:00,Take Profit,0.5521716475486755,2.0,930.1703362503227,963.2846156307612
USDJPY=X,long,147.40600158691407,147.75299499511718,90.93693094434389,31.554515599908246,34.699340820310454,2025-07-21 23:00:00+01:00,2025-07-22 06:00:00+01:00,0 days 07:00:00,Take Profit,0.559800922870636,2.0,963.2846156307612,994.8391312306694
USDJPY=X,short,147.4120068359375,146.82099487304689,108.35591620483748,64.03964272703087,59.101196289060454,2025-07-22 10:00:00+01:00,2025-07-22 13:00:00+01:00,0 days 03:00:00,Take Profit,0.5506578087806702,2.0,994.8391312306694,1058.8787739577003
USDJPY=X,long,146.58500244140626,147.136005859375,83.4233359101726,45.966543224858555,55.100341796872954,2025-07-22 19:00:00+01:00,2025-07-23 06:00:00+01:00,0 days 11:00:00,Take Profit,0.5825047492980957,2.0,1058.8787739577003,1104.8453171825588
USDJPY=X,long,146.05900146484376,146.5249981689453,93.20641432256882,43.43388187543983,46.599670410154204,2025-07-24 03:00:00+01:00,2025-07-24 09:00:00+01:00,0 days 06:00:00,Take Profit,0.5621879696846008,2.0,1104.8453171825588,1148.2791990579985
USDJPY=X,long,146.95299865722657,147.36400268554686,93.63146512683174,38.482909344658786,41.100402832029204,2025-07-25 06:00:00+01:00,2025-07-25 08:00:00+01:00,0 days 02:00:00,Take Profit,0.5741777420043945,2.0,1148.2791990579985,1186.7621084026573
USDJPY=X,short,147.83600280761718,148.31200744628907,105.98014691027277,-50.44704153641879,-47.600463867189546,2025-07-25 13:00:00+01:00,2025-07-28 08:00:00+01:00,2 days 19:00:00,Stop Loss,0.5628691911697388,2.0,1186.7621084026573,1136.3150668662386
USDJPY=X,long,148.25500061035157,148.6969952392578,106.82541392039754,47.216259183500476,44.199462890622954,2025-07-29 06:00:00+01:00,2025-07-29 12:00:00+01:00,0 days 06:00:00,Take Profit,0.5850064158439636,2.0,1136.3150668662386,1183.531326049739
USDJPY=X,short,148.5509991455078,148.07599975585939,114.26924973017155,54.27782387741403,47.499938964841704,2025-07-29 16:00:00+01:00,2025-07-30 01:00:00+01:00,0 days 09:00:00,Take Profit,0.5526337027549744,2.0,1183.531326049739,1237.809149927153
USDJPY=X,long,148.06400634765626,148.8270001220703,133.7237518698337,102.03039016797123,76.2993774414042,2025-07-30 03:00:00+01:00,2025-07-30 13:00:00+01:00,0 days 10:00:00,Take Profit,0.575276255607605,2.0,1237.809149927153,1339.8395400951242
USDJPY=X,long,148.90600158691407,149.6080059814453,76.44107928073598,53.661973577786775,70.20043945312295,2025-07-31 05:00:00+01:00,2025-07-31 09:00:00+01:00,0 days 04:00:00,Take Profit,0.557216227054596,2.0,1339.8395400951242,1393.501513672911
