timestamp,balance,available_balance,in_position
2024-08-05 15:00:00+01:00,1500.0,1500.0,False
2024-08-05 16:00:00+01:00,1500.0,1500.0,False
2024-08-05 17:00:00+01:00,1500.0,1500.0,False
2024-08-05 18:00:00+01:00,1500.0,1500.0,False
2024-08-05 19:00:00+01:00,1500.0,1500.0,False
2024-08-05 20:00:00+01:00,1500.0,1500.0,False
2024-08-05 21:00:00+01:00,1500.0,1500.0,False
2024-08-05 22:00:00+01:00,1500.0,1500.0,False
2024-08-05 23:00:00+01:00,1500.0,1500.0,False
2024-08-06 00:00:00+01:00,1500.0,1500.0,False
2024-08-06 01:00:00+01:00,1500.0,1500.0,False
2024-08-06 02:00:00+01:00,1500.0,1500.0,False
2024-08-06 03:00:00+01:00,1500.0,1500.0,False
2024-08-06 04:00:00+01:00,1500.0,1500.0,False
2024-08-06 05:00:00+01:00,1500.0,1500.0,False
2024-08-06 06:00:00+01:00,1500.0,1500.0,False
2024-08-06 07:00:00+01:00,1500.0,1500.0,False
2024-08-06 08:00:00+01:00,1500.0,1500.0,False
2024-08-06 09:00:00+01:00,1500.0,1500.0,False
2024-08-06 10:00:00+01:00,1500.0,1500.0,False
2024-08-06 11:00:00+01:00,1500.0,1500.0,False
2024-08-06 12:00:00+01:00,1500.0,1500.0,False
2024-08-06 13:00:00+01:00,1500.0,1500.0,False
2024-08-06 14:00:00+01:00,1500.0,1500.0,False
2024-08-06 15:00:00+01:00,1500.0,1500.0,False
2024-08-06 16:00:00+01:00,1500.0,1500.0,False
2024-08-06 17:00:00+01:00,1500.0,1500.0,False
2024-08-06 18:00:00+01:00,1500.0,1500.0,False
2024-08-06 19:00:00+01:00,1500.0,1500.0,False
2024-08-06 20:00:00+01:00,1500.0,1500.0,False
2024-08-06 21:00:00+01:00,1500.0,1500.0,False
2024-08-06 22:00:00+01:00,1500.0,1500.0,False
2024-08-06 23:00:00+01:00,1500.0,1500.0,False
2024-08-07 00:00:00+01:00,1500.0,1500.0,False
2024-08-07 01:00:00+01:00,1500.0,1500.0,False
2024-08-07 02:00:00+01:00,1500.0,1500.0,False
2024-08-07 03:00:00+01:00,1500.0,1500.0,False
2024-08-07 04:00:00+01:00,1500.0,1500.0,False
2024-08-07 05:00:00+01:00,1500.0,1500.0,False
2024-08-07 06:00:00+01:00,1500.0,1500.0,False
2024-08-07 07:00:00+01:00,1500.0,1500.0,False
2024-08-07 08:00:00+01:00,1500.0,1500.0,False
2024-08-07 09:00:00+01:00,1500.0,1500.0,False
2024-08-07 10:00:00+01:00,1500.0,1500.0,False
2024-08-07 11:00:00+01:00,1500.0,1500.0,False
