pair,direction,entry_price,exit_price,position_size,entry_time,exit_time,exit_reason,pnl,pnl_pct,confidence,entry_balance,exit_balance,duration_hours
EURUSD=X,buy,1.0925379991531372,1.0897995233535767,1372.949957953591,2024-08-07 17:00:00+01:00,2024-08-08 13:00:00+01:00,Stop Loss,-3.759790233863579,-0.2506526822575719,0.73,1500.0,1496.2402097661363,20.0
EURUSD=X,sell,1.0897995233535767,1.091941475868225,1372.9499579535907,2024-08-08 13:00:00+01:00,2024-08-08 19:00:00+01:00,Stop Loss,-2.94079361492516,-0.1965455543655526,0.73,1496.2402097661363,1493.299416151211,6.0
GBPUSD=X,buy,1.2750060558319092,1.280458927154541,1171.2096654920365,2024-08-08 19:00:00+01:00,2024-08-13 07:00:00+01:00,Take Profit,6.386455597750751,0.42767415085522675,0.73,1493.299416151211,1499.6858717489617,108.0
GBPUSD=X,sell,1.280458927154541,1.282495141029358,1171.2096654920363,2024-08-13 07:00:00+01:00,2024-08-13 15:00:00+01:00,Stop Loss,-2.384833371194538,-0.15902219365534873,0.8,1499.6858717489617,1497.301038377767,8.0
EURUSD=X,buy,1.0958904027938843,1.1002310514450073,1366.2872076993453,2024-08-13 15:00:00+01:00,2024-08-13 19:00:00+01:00,Take Profit,5.930572725146837,0.3960841923660352,0.73,1497.301038377767,1503.231611102914,4.0
USDJPY=X,buy,146.67599487304688,147.0919952392578,10.248654610483554,2024-08-13 19:00:00+01:00,2024-08-14 01:00:00+01:00,Take Profit,4.2634440711305714,0.2836185747851924,0.8,1503.231611102914,1507.4950551740446,6.0
USDJPY=X,buy,146.46099853515625,146.7740020751953,10.292808804059792,2024-08-14 03:00:00+01:00,2024-08-14 04:00:00+01:00,Take Profit,3.2216855926159442,0.21371118807709727,0.8,1507.4950551740446,1510.7167407666607,1.0
GBPUSD=X,sell,1.2857105731964111,1.2817391157150269,1175.0053023293265,2024-08-14 04:00:00+01:00,2024-08-15 13:00:00+01:00,Take Profit,4.666483598601999,0.30889202937102855,0.75,1510.7167407666607,1515.3832243652628,33.0
EURUSD=X,buy,1.0960105657577515,1.0992635488510132,1382.6355983325477,2024-08-15 13:00:00+01:00,2024-08-16 10:00:00+01:00,Take Profit,4.497690225517578,0.296802165498532,0.8,1515.3832243652628,1519.8809145907803,21.0
EURUSD=X,buy,1.0992635488510132,1.1035091876983643,1382.6355983325477,2024-08-16 10:00:00+01:00,2024-08-19 01:00:00+01:00,Take Profit,5.870171408011161,0.386225746481702,0.73,1519.8809145907803,1525.7510859987915,63.0
